"Country","Code","Score","Continent","educ5","emp5"
"Argentina","ARG",0.8,"South_America",110.489850362142,68.1729111531843
"Australia","AUS",0.958333333333333,"Oceania",100.696653366089,84.3746583610855
"Belarus","BLR",0.791666666666667,"Europe",100.627935409546,81.6752094204102
"Brazil","BRA",0.875,"South_America",127.554489135742,72.3868183221928
"Canada","CAN",1,"North_America",101.517740249634,86.9861246680298
"Chile","CHL",0.805555555555556,"South_America",99.7989387512208,68.8358644383768
"China","CHN",0.791666666666667,"Asia",99.5962646484375,80.6003713589452
"Colombia","COL",0.8375,"South_America",113.467948913574,70.9440406226814
"Congo, Rep.","COG",0.604166666666667,"Africa",107.562705993652,94.3809939381854
"El Salvador","SLV",0.902777777777778,"North_America",96.4854736328126,60.0188345116057
"Fiji","FJI",0.833333333333333,"Oceania",108.304155985514,50.4023669205101
"Iceland","ISL",0.995833333333333,"Europe",99.6804790496828,89.4613381500426
"Japan","JPN",0.861111111111111,"Asia",NA,72.5300436282659
"Korea, Rep.","KOR",0.854166666666667,"Asia",98.4577140808105,72.5371250765079
"Lithuania","LTU",0.916666666666667,"Europe",103.209896087646,84.0761899476186
"Malaysia","MYS",0.611111111111111,"Asia",105.268018086751,65.8529354853646
"Mexico","MEX",0.958333333333333,"North_America",106.050107955933,56.1858816243902
"New Zealand","NZL",1,"Oceania",99.7486801147463,85.6535521660668
"Nicaragua","NIC",0.905555555555556,"North_America",120.122222900391,59.282662199017
"Niger","NER",0.502777777777778,"Africa",66.0850820541382,72.5079941364559
"Nigeria","NGA",0.777777777777778,"Africa",82.1773300170898,80.2994396740966
"Papua New Guinea","PNG",0.770833333333333,"Oceania",103.573020935059,97.3900869499521
"Russian Federation","RUS",0.770833333333333,"Europe",101.505163192749,77.9540227141483
"Samoa","WSM",0.875,"Oceania",109.834912109375,56.1472907990947
"Tanzania","TZA",0.916666666666667,"Africa",92.0533386230469,91.0738263164273
"Thailand","THA",0.798611111111111,"Asia",99.8014846801758,78.111367592261
"Ukraine","UKR",0.808333333333333,"Europe",100.847581481933,74.4046771297753
"United States","USA",0.933333333333333,"North_America",101.045511245728,82.1365047934694
"Uruguay","URY",0.881944444444444,"South_America",107.840803146363,75.2475816464494
"Zimbabwe","ZWE",0.902777777777778,"Africa",110.048561096191,87.5073317827263
