"Country","Code","Score","Continent","educ2","emp2"
"Argentina","ARG",0.754166666666667,"South_America",115.342602539062,65.8463721161551
"Australia","AUS",0.854166666666667,"Oceania",102.544123840332,77.0038887724621
"Belarus","BLR",0.770833333333333,"Europe",107.806925964355,81.6990848189323
"Brazil","BRA",0.741666666666667,"South_America",138.566925048828,66.8097835388338
"Canada","CAN",1,"North_America",99.444381713867,82.676526077496
"Chile","CHL",0.722222222222222,"South_America",100.367429733276,51.6198789434231
"China","CHN",0.754166666666667,"Asia",111.834228515625,84.6681372750819
"Colombia","COL",0.769444444444444,"South_America",117.661703109741,65.3975667030566
"Congo, Rep.","COG",0.604166666666667,"Africa",96.5486572265625,94.3076489900766
"El Salvador","SLV",0.840277777777778,"North_America",111.935093688965,57.2836963356834
"Fiji","FJI",0.729166666666667,"Oceania",106.142832946777,46.1647205019113
"Iceland","ISL",0.958333333333333,"Europe",99.0586181640626,87.7779263935767
"Japan","JPN",0.856944444444444,"Asia",NA,64.8423162730701
"Korea, Rep.","KOR",0.701388888888889,"Asia",99.9503219604491,66.8657488559225
"Lithuania","LTU",0.841666666666667,"Europe",102.63740234375,81.3906172902481
"Malaysia","MYS",0.590277777777778,"Asia",98.0708892822266,57.0230153939725
"Mexico","MEX",0.861111111111111,"North_America",108.125608825684,47.8554230583527
"New Zealand","NZL",0.983333333333333,"Oceania",98.1223724365234,78.7548398245431
"Nicaragua","NIC",0.6875,"North_America",112.195866394043,48.0827581292904
"Niger","NER",0.469444444444444,"Africa",31.9606597900391,76.0857442363791
"Nigeria","NGA",0.736111111111111,"Africa",89.1261199951172,85.4344448299947
"Papua New Guinea","PNG",0.75,"Oceania",53.7960311889649,95.8107663685057
"Russian Federation","RUS",0.770833333333333,"Europe",110.629320144653,80.0827094895179
"Samoa","WSM",0.75,"Oceania",104.320127868653,56.9145523131268
"Tanzania","TZA",0.875,"Africa",84.9197082519531,94.8613394659277
"Thailand","THA",0.701388888888889,"Asia",97.4729480743408,79.6451603360395
"Ukraine","UKR",0.729166666666667,"Europe",110.128681945801,79.5065325913321
"United States","USA",0.916666666666667,"North_America",100.747720336914,80.1249349449746
"Uruguay","URY",0.794444444444444,"South_America",109.088619995117,69.4741333612007
"Zimbabwe","ZWE",0.869444444444444,"Africa",105.139308929444,84.9957198709201
