"Country","Code","Score","Continent","educ3","emp3"
"Argentina","ARG",0.775,"South_America",117.089671325684,65.7617779793812
"Australia","AUS",0.858333333333333,"Oceania",104.82794342041,80.187092094169
"Belarus","BLR",0.770833333333333,"Europe",101.234777832031,82.6047613981233
"Brazil","BRA",0.866666666666667,"South_America",127.386001586914,70.5788626369951
"Canada","CAN",1,"North_America",98.2351272583008,85.2064606010764
"Chile","CHL",0.776388888888889,"South_America",103.526371765137,58.6102486758112
"China","CHN",0.779166666666667,"Asia",99.916341781616,82.8856343896746
"Colombia","COL",0.808333333333333,"South_America",122.499031066895,64.686186277259
"Congo, Rep.","COG",0.604166666666667,"Africa",102.798522949219,94.4433623672668
"El Salvador","SLV",0.873611111111111,"North_America",116.358874511719,58.2356377366532
"Fiji","FJI",0.7625,"Oceania",107.326517105102,48.4910938637503
"Iceland","ISL",0.958333333333333,"Europe",98.1410781860352,87.7909845430609
"Japan","JPN",0.861111111111111,"Asia",NA,66.2794759727498
"Korea, Rep.","KOR",0.829166666666667,"Asia",101.882368469238,68.5800222979795
"Lithuania","LTU",0.895833333333333,"Europe",100.554577636719,81.5195414763276
"Malaysia","MYS",0.590277777777778,"Asia",98.9091995239258,56.8721014923555
"Mexico","MEX",0.884722222222222,"North_America",108.043916320801,52.4683883389393
"New Zealand","NZL",1,"Oceania",100.312057495117,81.3682139597112
"Nicaragua","NIC",0.704166666666667,"North_America",121.561805725097,55.632581948683
"Niger","NER",0.486111111111111,"Africa",44.9215538024902,75.4843965120476
"Nigeria","NGA",0.748611111111111,"Africa",86.7944625854492,85.6683961918951
"Papua New Guinea","PNG",0.75,"Oceania",51.5465749104818,95.4344474102361
"Russian Federation","RUS",0.770833333333333,"Europe",96.7629760742187,80.985135637553
"Samoa","WSM",0.75,"Oceania",107.811285018921,56.7821803496325
"Tanzania","TZA",0.916666666666667,"Africa",108.158102416992,96.002043827943
"Thailand","THA",0.740277777777778,"Asia",100.158059692383,79.5692160951897
"Ukraine","UKR",0.75,"Europe",99.5585357666016,77.2707287970492
"United States","USA",0.916666666666667,"North_America",102.513832092285,81.1960889330859
"Uruguay","URY",0.827777777777778,"South_America",112.958668518066,70.9716055173608
"Zimbabwe","ZWE",0.894444444444444,"Africa",107.593935012817,87.3760053712445
